titreCommercial;realisateur;visa;mention;paysOrigine;dateSortie
"DEGRADE";"Arab NASSER, Tarzan NASSER";"141021";"Tous publics";"FRANCE, PALESTINE";"27/04/2016"
"DEMOLITION";"Jean-Marc VALLEE";"144145";"Tous publics";"ETATS-UNIS";"06/04/2016"
"DESIERTO";"Jonas CUARON";"139791";"Interdiction aux mineurs -12 ans";"FRANCE, MEXIQUE";"13/04/2016"
"D'UNE PIERRE DEUX COUPS";"Fejria DELIBA";"141793";"Tous publics";"FRANCE";"20/04/2016"
"EVERYBODY WANTS SOME";"Richard LINKLATER";"144302";"Tous publics";"ETATS-UNIS";"20/04/2016"
"FREE TO RUN";"Pierre MORATH";"137572";"Tous publics";"BELGIQUE, FRANCE, SUISSE";"13/04/2016"
"FRITZ BAUER, UN HEROS ALLEMAND";"Lars KRAUME";"144008";"Tous publics";"ALLEMAGNE";"13/04/2016"
"FUI BANQUERO";"Patrick GRANDPERRET, Emilie GRANDPERRET";"133278";"Tous publics";"FRANCE";"13/04/2016"
"GARDIENS DE LA TERRE";"Rolf WINTERS, Renata HEINEN";"144226";"Tous publics";"GRANDE-BRETAGNE";"13/04/2016"
"GODS OF EGYPT";"Alex PROYAS";"142892";"Tous publics";"ETATS-UNIS";"06/04/2016"
"GRANNY'S DANCING ON THE TABLE";"Hanna SKÖLD";"144443";"Interdiction aux mineurs -12 ans";"SUÈDE";"20/04/2016"
"GREEN ROOM";"Jeremy SAULNIER";"144282";"Interdiction aux mineurs -12ans avec avertissement";"ETATS-UNIS";"27/04/2016"
"GRIMSBY - AGENT TROP SPECIAL";"Louis LETERRIER";"143732";"Tous publics avec avertissement";"ETATS-UNIS";"13/04/2016"
"HARDCORE HENRY";"Ilya NAISHULLER";"144248";"Interdiction aux mineurs -16 ans";"RUSSIE";"13/04/2016"
"HIGH-RISE";"Ben WHEATLEY";"142107";"Interdiction aux mineurs -12 ans";"GRANDE-BRETAGNE";"06/04/2016"
"JEM ET LES HOLOGRAMMES";"Jon CHU";"144336";"Tous publics";"ETATS-UNIS";"13/04/2016"
"L ACADEMIE DES MUSES";"Jose Luis GUERIN";"144090";"Tous publics";"ESPAGNE";"13/04/2016"
"LA CRYPTE";"Cornel GHEORGHITA";"133624";"Tous publics";"FRANCE, ROUMANIE";"27/04/2016"
